Member state,Date of admission,See also
 Republic of Korea ,17.Sep.91,Korea and the United Nations 
 Republic of Moldova[note 20] ,02.Mar.92,Former member: Union of Soviet Socialist Republics (original member) 
 Romania ,14.Dec.55, 
 Russian Federation ,24.Oct.45,Former member: Union of Soviet Socialist Republics (Soviet Union and the United Nations) and Russia and the United Nations 
 Rwanda ,18.Sep.62, 
 St. Kitts and Nevis[note 21] ,23.Sep.83, 
 St. Lucia ,18.Sep.79, 
 St. Vincent and the Grenadines ,16.Sep.80, 
 Samoa[note 22] ,15.Dec.76, 
 San Marino ,02.Mar.92, 
 São Tomé and Príncipe ,16.Sep.75, 
 Saudi Arabia ,24.Oct.45, 
 Senegal ,28.Sep.60, 
 Serbia ,01.Nov.00,"Former member: Yugoslavia (original member), Serbia and Montenegro, and Serbia and the United Nations "
 Seychelles ,21.Sep.76, 
 Sierra Leone ,27.Sep.61, 
 Singapore ,21.Sep.65,Former member: Malaysia and Singapore and the United Nations 
 Slovakia ,19.Jan.93,Former member: Czechoslovakia (original member) 
 Slovenia ,22.May.92,Former member: Yugoslavia (original member) 
 Solomon Islands ,19.Sep.78, 
 Somalia ,20.Sep.60, 
 South Africa[note 23] ,07.Nov.45, 
 South Sudan ,14.Jul.11, 
 Spain ,14.Dec.55, 
 Sri Lanka[note 24] ,14.Dec.55, 
 Sudan ,12.Nov.56, 
 Suriname[note 25] ,04.Dec.75, 
 Sweden ,19.Nov.46, 
 Switzerland ,10.Sep.02, 
 Syrian Arab Republic ,24.Oct.45,Former member: United Arab Republic 
 Tajikistan ,02.Mar.92,Former member: Union of Soviet Socialist Republics (original member) 
 Thailand ,16.Dec.46, 
 Timor-Leste ,27.Sep.02, 
 Togo ,20.Sep.60, 
 Tonga ,14.Sep.99, 
 Trinidad and Tobago ,18.Sep.62,Trinidad and Tobago and the United Nations 
 Tunisia ,12.Nov.56, 
 Turkey ,24.Oct.45, 
 Turkmenistan ,02.Mar.92,Former member: Union of Soviet Socialist Republics (original member) 
 Tuvalu ,05.Sep.00,Tuvalu and the United Nations 
 Uganda ,25.Oct.62, 
 Ukraine ,24.Oct.45,Former member: Ukrainian Soviet Socialist Republic 
 United Arab Emirates ,09.Dec.71, 
 United Kingdom of Great Britain and Northern Ireland ,24.Oct.45,United Kingdom and the United Nations 
 United Republic of Tanzania[note 26] ,14.Dec.61,Former member: Zanzibar 
 United States of America ,24.Oct.45,United States and the United Nations 
 Uruguay ,18.Dec.45, 
 Uzbekistan ,02.Mar.92,Former member: Union of Soviet Socialist Republics (original member) 
 Vanuatu ,15.Sep.81,Vanuatu and the United Nations 
 Venezuela (Bolivarian Republic of)[note 27] ,15.Nov.45, 
 Viet Nam ,20.Sep.77, 
 Yemen ,30.Sep.47,Former members: Yemen and People's Democratic Republic of Yemen 
 Zambia ,01.Dec.64, 
 Zimbabwe ,25.Aug.80, 
